ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1
AllFuels;1;1;1;1;1;1;1;1;1;1
Electricity;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1
Heavy_Industry;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Buildings_constr;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Work_constr;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Automobile;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Load_PipeTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
PassTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
AgriFood_Indus;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
PropertyBus;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Comp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
