IC prices CO2,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,C,G,I,X,
Crude,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,436.4,458.2,
Natur,329,438.8,329,329,329,329,329,329,329,329,380.4,476,408,724.9,529.9,529.9,200.8,
Coal ,226.4,226.4,245.9,226.4,148.3,171.9,308.2,171.9,171.9,258.7,185.3,226.4,199.9,265.8,269.9,269.9,299.7,
FuelP,799.1,799.1,799.1,799.1,442,526.1,891,677.5,631.4,584.4,838.6,715.6,955.4,1332.6,1323,1323,534.7,
Elect,580,580,580,580,788.3,580,504,504,504,504,544.7,865,865,1451,1204.7,1204.7,518.2,
HeatG,681.7,681.7,681.7,681.7,681.7,681.7,681.7,681.7,681.7,681.7,683.7,683.7,683.7,768.6,827.3,827.3,674.6,
Steel,609.9,911.8,911.8,911.8,911.8,911.8,90,911.8,911.8,911.8,911.8,911.8,911.8,911.8,740.3,911.8,616.3,
NonFe,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1144.4,1144.4,1144.4,1064.5,
Cemen,138.4,194.9,194.9,194.9,194.9,194.9,194.9,194.9,58,194.9,194.9,194.9,194.9,194.9,152.8,152.8,211.9,
OthMi,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1388.7,1702.5,1702.5,1702.5,1386.9,
OthIn,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1168.4,1286.6,1286.6,1286.6,1178.9,
Agric,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1282.9,1354.6,1354.6,1354.6,1302.7,
Compo,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,1017.6,1017.6,1017.6,945.7,
,,,,,,,,,,,,,,,,,,
w,103553.7,71952.2,51393.7,89505.4,71952.2,71952.2,46059.1,42756.4,51558.7,39359,67753.7,59882.7,36716.2,,,,,
pL,149045.8,103561.4,73971.4,128825.9,103561.4,103561.4,66293.3,61539.7,76658,56527.5,97518.5,86189.8,52846,,,,,
pK,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,1059.9,,,,,
pY,180,12404.8,330.1,614,748,666.4,504.7,1000,113.6,1000,1000,1000,1000,,,,,
pM,445,233.9,179.5,433.3,654.1,666.4,690.6,1000,100.9,1000,1000,1000,1000,,,,,
p,435.4,416,212.4,543.6,744.5,666.4,568.6,1000,112.5,1000,1000,1000,1000,,,,,
,,,,,,,,,,,,,,,,,,
Units,1 €/tep, €/tons,,,,,,,,,,,,,,,,,
