;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Oil;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Natural_gas;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Coal_lignite;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Elec_heating;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Steel_Iron;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
NonFerrousMetals;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Cement;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
OthMin;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
ChemicalPharma;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Paper;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Auto_transport;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
LandTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
NavalTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
AirTransp;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
AgriForest_Fish;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Food_industry;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Composite;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
