Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;49.72002558;0;22325.13367;0;0;0;0;0;0;6.760166909;0;0;96.37799536;0;0;0;0;0;0;0;0;0;456.71365;22934.70551;22344.9148;589.7907016
Gas;0;11517.76612;0;0;14455.00547;0;0;0;1738.848825;3314.985056;2579.250542;4103.527525;217.474146;2042.560037;606.3837894;0;434.7407142;41.66164074;224.9176765;4526.818156;0;0;3848.303583;49652.24328;49560.16544;92.0778349
Fossil_fuels;0;0;1087.500175;0;584.6785629;0;1908.744021;405.2042284;0;0;40.83676208;0;292.5852496;2392.91971;378.2512986;1462.539139;200.156758;196.7356041;318.9963433;2502.19876;0;0;9401.788507;21173.13512;20858.75013;314.3849896
Biofuels;0;0;0;0;0;0;1877.746305;349.6967999;0;0;0;0;0;801.9886054;126.5126587;0;7.537818149;0;0;643.4911726;0;0;2017.945373;5824.918733;5823.267077;1.651655707
Elec;0;0;0;0;867.9626716;0;104.3192391;0;283.4720751;1142.40134;1350.230468;422.566975;2685.530528;1485.863325;503.4035618;0;2570.133487;918.8709354;389.8444309;7777.353977;0;0;3.70E-11;20501.95301;19601.37707;900.5759449
Renew;0;0;0;16294.42274;1386.498922;566.2918999;119.2219876;22.20297142;0;0;487.892156;1169.655126;0;0;0;0;153.3576831;0;0;612.3004713;0;0;0;20811.84396;20670.419;141.424959
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416998.5179;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133016.7951;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23721.96036;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106582.413;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330446.6296;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560787.7316;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323193.2133;0;0;0;0;429001.1501;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269907.3413;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198548.3268;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204491.6164;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;592660.7658;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384559.5771;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2913637.781;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
