CurYear_MtCO2perKtoe;2030;2050
Oil;636.8784758823823;485.1993157316944
Gas_heating;623.7987163120549;1195.1371971208268
Coal_lignite;10.406112612148988;6.17341075154802
Electricity;8876.540621344855;17520.949664300857
Steel_Iron;1041.6789665446806;906.8813214538768
NonFerrousMetals;1221.0703041938687;1631.2889656620532
Cement;437.7658473064882;549.1602805837194
OthMin;1034.4811450160726;1094.5213199270302
ChemicalPharma;5089.911383643816;6197.152319270089
Paper;1307.3464388578893;1429.32476712487
Auto_transport;9647.51458139337;14508.440626600877
LandTransp;12248.119370036435;13361.713759336713
NavalTransp;4002.1563292652036;4721.164347986073
AirTransp;3653.3456063055787;4733.572834146748
AgriForest_Fish;16992.15157167859;20397.443566102047
Food_industry;6286.552552707261;6798.0090628633125
Construction;13429.124142735902;17822.083250216074
ManufacturedGoods;14556.957251416172;14156.384247444435
Compo;390561.59019097645;572043.9466275759
