Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;-4.9
GOS_byAgent; 6.2; 6.2; 6.2;0
NetCompWages_byAgent;0;0; 5.8;0
InsuranceContrib_byAgent;0; 5.8;0;0
Production_Tax_byAgent;0; 5;0;0
Energ_Tax_byAgent;0;-8.1;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0; 5.6;0;0
VA_Tax_byAgent;0; 3.9;0;0
Property_income;-60.1;-16.3;-37.9;-0.5
Unemployment_transfers;0;-4.1;-4.1;0
Pensions;0; 7.2; 7.2;0
Other_social_transfers;0; 3.4; 3.4;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 5.6; 5.6; 5.6; 5.6
Income_Tax;0; 2; 2;0
Corporate_Tax; 6.2; 6.2;0;0
Other_Direct_Tax;0;-0.9;-0.9;0
Disposable_Income; 28.1; 5; 2;-5.5
FC_byAgent;0; 5.6; 4.3;0
GFCF_byAgent; 17.4; 1.5;-5.6;0
Tot_FC_byAgent; 17.4; 5.1; 3.4;0
NetLending; 231.3; 5.4;-13.3;-5.5
NetFinancialDebt; 11.6; 60; 36.6;-27.6
;;;;
Units;0.01 k€;;;
