2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;31941.3227766982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;787.576442419646;30992.6231994354
Liquid_fuels;87.1009038964861;1239.66614019599;0;0;0;1047.26537086617;403.541827152987;89.8254235409735;43.3489123687006;2000.34564834163;0;143.095549115878;0;58.7907346254157;0;483.270314771308;6909.16924199105;3839.73590074279;8978.82960858871;2891.11990996901;625.908325436977;3.037887012802;997.504895730328;16118.215735113;0;0;0;0;40544.2683342585;13490.8415907587
Gas_fuels;27.7386452759982;229.790016576051;59;0;3360.80078002702;511.556372308925;223.969706593593;402.243613065355;462.655221316338;1555.67982522859;461.768231328964;288.836604167152;82.3649520309662;54.4308005895238;1879.07354302751;447.430882727513;244.14091411149;2.18567885568365;13.8034842076498;166.875434325319;425.076371630397;589.27167556515;4467.97034255821;6622.49655938581;0;0;0;0;39318.8480911088;181178.99119433
Solid_fuels;0;7787.48720246568;599;115.074904925076;2163.79563911713;1830.93466690409;3.99380558387068;213.888977844068;43.2742458683984;196.797793323734;21.7901004726232;13.2822056419667;0;1.98446151730481;443.463444178255;16.3126267930916;0;0;0;2.1345919958662;152.056031670922;0.0689525511539794;29.9211804317007;28.9720915585386;0;0;0;0;7118.171583231;2326.52278985054
Elec_heating;24.7043308952874;253.195199970839;89;0;1145.21326533584;231.88532023662;813.768281358187;2117.30049890337;430.102281643259;4194.19305718791;646.160365787714;687.142673333025;317.973694061858;171.82851470089;2292.04632504457;1412.46104927229;1745.39019487913;6.61083996015992;0;662.731246148157;1128.1182183082;450.068216823769;16031.940394246;20440.8797196911;0;0;0;0;63114.5350043649;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24642.5284902096;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35374.0533405417;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5346.94037945749;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24682.2283129657;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102222.918092408;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19160.6663449281;0
Auto_indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51380.4377230825;0;0;0;0;140810.745707185;0
OthEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55932.0945258592;0
Electronics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24800.7743840431;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151148.573502741;0
OthManuf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203866.782993747;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105459.33043585;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32692.5237393378;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26733.318843912;0
AgriForest_Fish;0;0;0;4750.2264493856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83224.0967154056;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367596.510802646;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231253.519758432;0;0;0;0;367078.645496809;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2704500.13103923;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
