Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;-8.9;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;-13.4;0;-13.5;-8.9;-9.6;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;-5;0
Coal ;0;0;-13.5;0;-9.6;-9.9;-5.3;0;-5.1;-5.3;0;0;-5.5;-5.5;-5.3;-5;0
AllFu;0;0;0;0;-9.6;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;-5;0
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;-13.4;0;-13.5;-8.9;-9.6;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;;
Tot_CO2Emis_IC;-6.9;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;-5;;;;;;;;;;;;;;;;
DOM_CO2;-6.2;;;;;;;;;;;;;;;;
Units;0.01 MtCO2;;;;;;;;;;;;;;;;
