Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;12.6;0;0;0;0;0;0;0;0;0;0;0;0;0.2
Natur;0;0;0;0.6;6.5;2.9;14;0.1;0.7;0.4;0.1;0.1;6.5;0.5;18.6;27.1;6
Coal ;0;0;12.5;0;12.8;0.7;15.5;0;0;0;0;0;2.1;0;0.5;0.1;0.7
AllFu;0;0;0;0;5;1;5.2;0.2;2;0.1;42.2;2.7;9.8;0.2;10.5;85.9;75.5
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;0;0;12.5;13.2;24.3;4.5;34.7;0.3;2.7;0.6;42.3;2.8;18.4;0.6;29.6;;
Tot_CO2Emis_IC;186.4;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;113.1;;;;;;;;;;;;;;;;
DOM_CO2;299.5;;;;;;;;;;;;;;;;
Units;1 MtCO2;;;;;;;;;;;;;;;;
