Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 4.9
GOS_byAgent;-0.3;-0.3;-0.3;0
NetCompWages_byAgent;0;0;-0.5;0
InsuranceContrib_byAgent;0;-0.5;0;0
Production_Tax_byAgent;0; 0.3;0;0
Energ_Tax_byAgent;0;-5.4;0;0
Carbon_Tax_byAgent;0; 1.335e+25;0;0
OtherIndirTax_byAgent;0;-0.3;0;0
VA_Tax_byAgent;0; 1.6;0;0
Property_income;0;0;0;0
Unemployment_transfers;0; 7; 7;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;-1.335e+25; 1.335e+25;0
Other_Transfers; 1; 1; 1; 1
Income_Tax;0;-0.1;-0.1;0
Corporate_Tax; 1.4; 1.4;0;0
Other_Direct_Tax;0; 0.8; 0.8;0
Disposable_Income;-0.8; 0.3; 1.6; 7
FC_byAgent;0; 0.6; 1.6;0
GFCF_byAgent;0; 0.5; 1.6;0
Tot_FC_byAgent;0; 0.5; 1.6;0
NetLending; 17.8; 1.8; 1.6; 7
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
